n,d,MSB,Approx(0.1),Results(0.1),u,time(s),time(us),,,,
750,300,51.9282,59.4537,1.144921257,1,0.353874,353874,,1.488397634,,
750,350,55.8256,66.0202,1.182615144,1,0.396914,396914,,1.537399688,,
750,400,59.6617,75.4789,1.265114806,1,0.453727,453727,,1.644649247,,
750,450,62.9706,74.7075,1.186386981,1,0.502143,502143,,1.542303075,,
750,500,66.2531,84.0802,1.269075711,1,0.565586,565586,,1.649798425,,
750,550,69.442,89.6211,1.290589269,1,0.614921,614921,,1.677766049,,
750,600,72.2698,87.0904,1.205073212,1,0.677939,677939,,1.566595175,,
750,650,75.1362,90.6726,1.206776494,1,0.745801,745801,,1.568809442,,
750,700,77.896,99.4752,1.277025778,1,0.781408,781408,,1.660133511,,
750,750,80.4384,103.577,1.287656144,1,0.841127,841127,,1.673952988,,
750,800,83.0772,100.028,1.204036727,1,0.894734,894734,,1.565247745,,
750,850,85.587,106.868,1.248647575,1,0.95142,951420,,1.623241847,,
750,900,87.878,110.832,1.261203031,1,1.01018,1.01E+06,,1.639563941,,
750,950,90.2099,111.557,1.236638107,1,1.06833,1.07E+06,,1.60762954,,
750,1000,92.6409,113.54,1.225592584,1,1.12468,1.12E+06,,1.593270359,,
800,50,22.8092,30.6031,1.34169984,3,0.0914922,91492.2,,1.744209793,,
800,100,31.0913,39.6346,1.274781048,2,0.140821,140821,,1.657215362,,
800,150,37.4984,45.7278,1.21946003,2,0.203928,203928,,1.585298039,,
800,200,42.9936,48.6215,1.130900878,1,0.242326,242326,,1.470171142,,
800,250,47.695,64.2352,1.346791068,2,0.333029,333029,,1.750828389,,
800,300,51.9446,59.4537,1.144559781,1,0.359886,359886,,1.487927715,,
800,350,55.8328,66.0202,1.182462638,1,0.415396,415396,,1.53720143,,
800,400,59.674,75.4789,1.26485404,1,0.477395,477395,,1.644310252,,
800,450,63.0061,74.7075,1.185718526,1,0.533467,533467,,1.541434083,,
800,500,66.2701,84.0802,1.26875016,1,0.607279,607279,,1.649375208,,
800,550,69.4689,89.6211,1.290089522,1,0.653725,653725,,1.677116379,,
800,600,72.2993,87.0904,1.20458151,1,0.734823,734823,,1.565955964,,
800,650,75.1548,90.6726,1.20647783,1,0.788498,788498,,1.568421179,,
800,700,77.9096,99.4752,1.276802859,1,0.85114,851140,,1.659843716,,
800,750,80.4778,103.577,1.287025739,1,0.914269,914269,,1.67313346,,
800,800,83.101,100.028,1.203691893,1,0.949058,949058,,1.564799461,,
800,850,85.6451,106.868,1.247800516,1,1.01329,1.01E+06,,1.622140671,,
800,900,87.9124,110.832,1.260709524,1,1.06152,1.06E+06,,1.638922382,,
800,950,90.3185,111.557,1.23515116,1,1.14268,1.14E+06,,1.605696507,,
800,1000,92.6877,113.54,1.224973756,1,1.17319,1.17E+06,,1.592465883,,
850,50,22.8092,30.1765,1.322996861,3,0.0919815,91981.5,,1.719895919,,
850,100,31.0914,37.4052,1.203072232,2,0.149095,149095,,1.563993902,,
850,150,37.5084,45.7278,1.219134914,2,0.212641,212641,,1.584875388,,
850,200,42.9937,48.6215,1.130898248,1,0.259718,259718,,1.470167722,,
850,250,47.6992,54.6392,1.145495103,1,0.315914,315914,,1.489143633,,
850,300,51.9449,59.4537,1.144553171,1,0.379104,379104,,1.487919122,,
850,350,55.8745,66.0202,1.181580148,1,0.43764,437640,,1.536054193,,
850,400,59.6822,75.4789,1.264680256,1,0.502621,502621,,1.644084333,,
850,450,63.0348,74.7075,1.185178663,1,0.558056,558056,,1.540732262,,
850,500,66.2816,84.0802,1.268530029,1,0.61934,619340,,1.649089038,,
850,550,69.4889,86.4415,1.243961266,1,0.681147,681147,,1.617149645,,
850,600,72.3002,87.0904,1.204566516,1,0.747542,747542,,1.56593647,,
850,650,75.1555,90.6726,1.206466593,1,0.822764,822764,,1.56840657,,
850,700,77.9323,99.4752,1.276430954,1,0.871911,871911,,1.65936024,,
850,750,80.5202,103.577,1.286348022,1,0.936896,936896,,1.672252429,,
850,800,83.14,100.028,1.203127255,1,0.997165,997165,,1.564065432,,
850,850,85.663,106.868,1.247539778,1,1.07914,1.08E+06,,1.621801711,,
850,900,87.9684,110.832,1.259906967,1,1.1538,1.15E+06,,1.637879057,,
850,950,90.3283,111.557,1.235017154,1,1.17607,1.18E+06,,1.6055223,,
850,1000,92.7574,113.54,1.224053283,1,1.25401,1.25E+06,,1.591269268,,
900,50,22.8221,29.961,1.312806446,3,0.0951608,95160.8,,1.70664838,,
900,100,31.1227,36.5729,1.175119768,2,0.153802,153802,,1.527655698,,
900,150,37.6445,45.7278,1.214727251,2,0.221204,221204,,1.579145426,,
900,200,42.9949,48.6215,1.130866684,1,0.275506,275506,,1.470126689,,
900,250,47.702,54.6392,1.145427865,1,0.337137,337137,,1.489056224,,
900,300,51.979,59.4537,1.143802305,1,0.400116,400116,,1.486942996,,
900,350,55.8763,66.5945,1.191820146,1,0.454003,454003,,1.549366189,,
900,400,59.6846,75.4789,1.264629402,1,0.541659,541659,,1.644018222,,
900,450,63.0354,74.7075,1.185167382,1,0.606591,606591,,1.540717597,,
900,500,66.3441,82.1995,1.23898734,1,0.65008,650080,,1.610683542,,
900,550,69.4959,86.4415,1.243835967,1,0.731562,731562,,1.616986757,,
900,600,72.3325,87.0904,1.204028618,1,0.79163,791630,,1.565237203,,
900,650,75.2164,90.6726,1.20548976,1,0.86505,865050,,1.567136688,,
900,700,77.9697,99.4752,1.275818683,1,0.91464,914640,,1.658564288,,
