1,2,3,4,5
558,3528.99,0,311364,173741112
559,3536.32,0,312481,174676879
560,3543.64,0,313600,175616000
561,3550.97,0,314721,176558481
562,3558.3,0,315844,177504328
563,3565.64,0,316969,178453547
564,3572.97,0,318096,179406144
565,3580.31,0,319225,180362125
566,3587.64,0,320356,181321496
567,3594.98,0,321489,182284263
568,3602.32,0,322624,183250432
569,3609.67,0,323761,184220009
570,3617.01,0,324900,185193000
571,3624.36,0,326041,186169411
572,3631.71,0,327184,187149248
573,3639.06,0,328329,188132517
574,3646.41,0,329476,189119224
575,3653.76,0,330625,190109375
576,3661.12,0,331776,191102976
577,3668.47,0,332929,192100033
578,3675.83,0,334084,193100552
579,3683.19,0,335241,194104539
580,3690.56,0,336400,195112000
581,3697.92,0,337561,196122941
582,3705.29,0,338724,197137368
583,3712.65,0,339889,198155287
584,3720.02,0,341056,199176704
585,3727.39,0,342225,200201625
586,3734.77,0,343396,201230056
587,3742.14,0,344569,202262003
588,3749.52,0,345744,203297472
589,3756.89,0,346921,204336469
590,3764.27,0,348100,205379000
591,3771.65,0,349281,206425071
592,3779.04,0,350464,207474688
593,3786.42,0,351649,208527857
594,3793.81,0,352836,209584584
595,3801.19,0,354025,210644875
596,3808.58,0,355216,211708736
597,3815.97,0,356409,212776173
598,3823.37,0,357604,213847192
599,3830.76,0,358801,214921799
600,3838.16,0,360000,216000000
601,3845.56,0,361201,217081801
602,3852.95,0,362404,218167208
603,3860.36,0,363609,219256227
604,3867.76,0,364816,220348864
605,3875.16,0,366025,221445125
606,3882.57,0,367236,222545016
607,3889.98,0,368449,223648543
608,3897.39,0,369664,224755712
609,3904.8,0,370881,225866529
610,3912.21,0,372100,226981000
611,3919.62,0,373321,228099131
612,3927.04,0,374544,229220928
613,3934.46,0,375769,230346397
614,3941.88,0,376996,231475544
615,3949.3,0,378225,232608375
616,3956.72,0,379456,233744896
617,3964.14,0,380689,234885113
618,3971.57,0,381924,236029032
619,3979,0,383161,237176659
620,3986.43,0,384400,238328000
621,3993.86,0,385641,239483061
622,4001.29,0,386884,240641848
623,4008.72,0,388129,241804367
624,4016.16,0,389376,242970624
625,4023.59,0,390625,244140625
626,4031.03,0,391876,245314376
627,4038.47,0,393129,246491883
628,4045.92,0,394384,247673152
629,4053.36,0,395641,248858189
630,4060.8,0,396900,250047000
631,4068.25,0,398161,251239591
632,4075.7,0,399424,252435968
633,4083.15,0,400689,253636137
634,4090.6,0,401956,254840104
635,4098.05,0,403225,256047875
636,4105.51,0,404496,257259456
637,4112.96,0,405769,258474853
638,4120.42,0,407044,259694072
639,4127.88,0,408321,260917119
640,4135.34,0,409600,262144000
641,4142.8,0,410881,263374721
642,4150.27,0,412164,264609288
643,4157.73,0,413449,265847707
644,4165.2,0,414736,267089984
645,4172.67,0,416025,268336125
646,4180.14,0,417316,269586136
647,4187.61,0,418609,270840023
648,4195.08,0,419904,272097792
649,4202.56,0,421201,273359449
650,4210.03,0,422500,274625000
651,4217.51,0,423801,275894451
652,4224.99,0,425104,277167808
653,4232.47,0,426409,278445077
654,4239.95,0,427716,279726264
655,4247.44,0,429025,281011375
656,4254.92,0,430336,282300416
657,4262.41,0,431649,283593393
658,4269.9,0,432964,284890312
659,4277.39,0,434281,286191179
660,4284.88,0,435600,287496000
661,4292.37,0,436921,288804781
662,4299.87,0,438244,290117528
663,4307.36,0,439569,291434247
664,4314.86,0,440896,292754944
665,4322.36,0,442225,294079625
666,4329.86,0,443556,295408296
667,4337.36,0,444889,296740963
668,4344.86,0,446224,298077632
669,4352.37,0,447561,299418309
670,4359.88,0,448900,300763000
671,4367.38,0,450241,302111711
672,4374.89,0,451584,303464448
673,4382.4,0,452929,304821217
674,4389.92,0,454276,306182024
675,4397.43,0,455625,307546875
676,4404.95,0,456976,308915776
677,4412.46,0,458329,310288733
678,4419.98,0,459684,311665752
679,4427.5,0,461041,313046839
680,4435.02,0,462400,314432000
681,4442.55,0,463761,315821241
682,4450.07,0,465124,317214568
683,4457.6,0,466489,318611987
684,4465.12,0,467856,320013504
685,4472.65,0,469225,321419125
686,4480.18,0,470596,322828856
687,4487.71,0,471969,324242703
688,4495.25,0,473344,325660672
689,4502.78,0,474721,327082769
690,4510.32,0,476100,328509000
691,4517.85,0,477481,329939371
692,4525.39,0,478864,331373888
693,4532.93,0,480249,332812557
694,4540.48,0,481636,334255384
695,4548.02,0,483025,335702375
696,4555.56,0,484416,337153536
697,4563.11,0,485809,338608873
698,4570.66,0,487204,340068392
699,4578.21,0,488601,341532099
700,4585.76,0,490000,343000000
701,4593.31,0,491401,344472101
702,4600.86,0,492804,345948408
703,4608.42,0,494209,347428927
704,4615.97,0,495616,348913664
705,4623.53,0,497025,350402625
706,4631.09,0,498436,351895816
707,4638.65,0,499849,353393243
708,4646.21,0,501264,354894912
709,4653.77,0,502681,356400829
710,4661.34,0,504100,357911000
711,4668.9,0,505521,359425431
712,4676.47,0,506944,360944128
713,4684.04,0,508369,362467097
714,4691.61,0,509796,363994344
715,4699.18,0,511225,365525875
716,4706.75,0,512656,367061696
717,4714.33,0,514089,368601813
718,4721.91,0,515524,370146232
719,4729.48,0,516961,371694959
720,4737.06,0,518400,373248000
721,4744.64,0,519841,374805361
722,4752.22,0,521284,376367048
723,4759.8,0,522729,377933067
724,4767.39,0,524176,379503424
725,4774.97,0,525625,381078125
726,4782.56,0,527076,382657176
727,4790.15,0,528529,384240583
728,4797.74,0,529984,385828352
729,4805.33,0,531441,387420489
730,4812.92,0,532900,389017000
731,4820.52,0,534361,390617891
732,4828.11,0,535824,392223168
733,4835.71,0,537289,393832837
734,4843.31,0,538756,395446904
735,4850.9,0,540225,397065375
736,4858.51,0,541696,398688256
737,4866.11,0,543169,400315553
738,4873.71,0,544644,401947272
739,4881.32,0,546121,403583419
740,4888.92,0,547600,405224000
741,4896.53,0,549081,406869021
742,4904.14,0,550564,408518488
743,4911.75,0,552049,410172407
744,4919.36,0,553536,411830784
745,4926.97,0,555025,413493625
746,4934.59,0,556516,415160936
747,4942.2,0,558009,416832723
748,4949.82,0,559504,418508992
749,4957.44,0,561001,420189749
750,4965.05,0,562500,421875000
751,4972.68,0,564001,423564751
752,4980.3,0,565504,425259008
753,4987.92,0,567009,426957777
754,4995.55,0,568516,428661064
755,5003.17,0,570025,430368875
756,5010.8,0,571536,432081216
757,5018.43,0,573049,433798093
758,5026.06,0,574564,435519512
759,5033.69,0,576081,437245479
760,5041.32,0,577600,438976000
761,5048.96,0,579121,440711081
762,5056.59,0,580644,442450728
763,5064.23,0,582169,444194947
764,5071.87,0,583696,445943744
765,5079.51,0,585225,447697125
766,5087.15,0,586756,449455096
767,5094.79,0,588289,451217663
768,5102.43,0,589824,452984832
769,5110.07,0,591361,454756609
770,5117.72,0,592900,456533000
771,5125.37,0,594441,458314011
772,5133.02,0,595984,460099648
773,5140.67,0,597529,461889917
774,5148.32,0,599076,463684824
775,5155.97,0,600625,465484375
776,5163.62,0,602176,467288576
777,5171.28,0,603729,469097433
778,5178.93,0,605284,470910952
779,5186.59,0,606841,472729139
780,5194.25,0,608400,474552000
781,5201.91,0,609961,476379541
782,5209.57,0,611524,478211768
783,5217.23,0,613089,480048687
784,5224.9,0,614656,481890304
785,5232.56,0,616225,483736625
786,5240.23,0,617796,485587656
787,5247.9,0,619369,487443403
788,5255.56,0,620944,489303872
789,5263.23,0,622521,491169069
790,5270.91,0,624100,493039000
791,5278.58,0,625681,494913671
792,5286.25,0,627264,496793088
793,5293.93,0,628849,498677257
794,5301.6,0,630436,500566184
795,5309.28,0,632025,502459875
796,5316.96,0,633616,504358336
797,5324.64,0,635209,506261573
798,5332.32,0,636804,508169592
799,5340.01,0,638401,510082399
800,5347.69,0,640000,512000000
801,5355.37,0,641601,513922401
802,5363.06,0,643204,515849608
803,5370.75,0,644809,517781627
804,5378.44,0,646416,519718464
805,5386.13,0,648025,521660125
806,5393.82,0,649636,523606616
807,5401.51,0,651249,525557943
808,5409.21,0,652864,527514112
809,5416.9,0,654481,529475129
810,5424.6,0,656100,531441000
811,5432.3,0,657721,533411731
812,5439.99,0,659344,535387328
813,5447.69,0,660969,537367797
814,5455.4,0,662596,539353144
815,5463.1,0,664225,541343375
816,5470.8,0,665856,543338496
817,5478.51,0,667489,545338513
818,5486.21,0,669124,547343432
819,5493.92,0,670761,549353259
820,5501.63,0,672400,551368000
821,5509.34,0,674041,553387661
822,5517.05,0,675684,555412248
823,5524.76,0,677329,557441767
824,5532.48,0,678976,559476224
825,5540.19,0,680625,561515625
826,5547.91,0,682276,563559976
827,5555.62,0,683929,565609283
828,5563.34,0,685584,567663552
829,5571.06,0,687241,569722789
830,5578.78,0,688900,571787000
