n , d , MSB , Approx(0.1) , Results(0.1) , u , time(s) , time(us)
900,1000,92.7953,130.307,1.404241379,2,4.91155,4.91E+06
950,50,22.9136,32.8667,1.434375218,4,0.452061,452061
950,100,31.1668,42.8071,1.373483964,4,0.837267,837267
950,150,37.6492,52.0925,1.383628337,4,1.31196,1.31E+06
950,200,42.9995,60.2367,1.400869778,3,1.26952,1.27E+06
950,250,47.721,68.4425,1.434221831,3,1.58081,1.58E+06
950,300,51.9844,72.8216,1.400835635,3,1.91328,1.91E+06
950,350,55.8939,77.4361,1.385412362,2,1.74699,1.75E+06
950,400,59.7128,81.0619,1.357529709,1,1.50135,1.50E+06
950,450,63.0985,85.434,1.353978304,2,2.25668,2.26E+06
950,500,66.3611,90.3925,1.362130827,2,2.62187,2.62E+06
950,550,69.502,99.6325,1.433519899,2,2.86735,2.87E+06
950,600,72.3688,100.427,1.387711279,2,2.96885,2.97E+06
950,650,75.2498,103.623,1.377053494,2,3.16833,3.17E+06
950,700,77.986,106.833,1.369899726,1,2.56622,2.57E+06
950,750,80.6077,111.238,1.379992234,1,2.78654,2.79E+06
950,800,83.2029,115.661,1.390107797,2,3.88692,3.89E+06
950,850,85.7894,114.773,1.337845934,1,3.07576,3.08E+06
950,900,88.0251,119.03,1.352227944,1,3.28808,3.29E+06
950,950,90.4285,127.882,1.414178052,2,4.64105,4.64E+06
950,1000,92.8163,130.307,1.403923664,2,4.86618,4.87E+06
1000,50,22.9136,34.9073,1.523431499,5,0.585067,585067
1000,100,31.2,46.0463,1.475842949,5,1.14117,1.14E+06
1000,150,37.6957,51.9129,1.377157076,4,1.23744,1.24E+06
1000,200,42.9996,59.7069,1.388545475,3,1.35177,1.35E+06
1000,250,47.785,69.2771,1.449766663,3,1.66135,1.66E+06
1000,300,52.0132,72.6803,1.397343367,3,2.03308,2.03E+06
1000,350,55.8969,77.4361,1.385338006,2,1.77144,1.77E+06
1000,400,59.7129,87.4874,1.465134,2,2.10842,2.11E+06
1000,450,63.1596,85.434,1.352668478,2,2.2732,2.27E+06
1000,500,66.372,90.5319,1.364007413,2,2.81294,2.81E+06
1000,550,69.5021,92.8354,1.335720791,1,2.14668,2.15E+06
1000,600,72.388,100.812,1.392661767,2,2.96287,2.96E+06
1000,650,75.2934,103.623,1.376256086,2,3.25194,3.25E+06
1000,700,77.9918,106.833,1.369797851,1,2.61053,2.61E+06
1000,750,80.667,111.238,1.378977773,1,2.7796,2.78E+06
1000,800,83.2127,116.065,1.394799111,2,3.94641,3.95E+06
1000,850,85.8352,114.773,1.337132086,1,3.16036,3.16E+06
1000,900,88.0697,119.03,1.351543153,1,3.37878,3.38E+06
1000,950,90.4685,128.141,1.416415658,2,4.67951,4.68E+06
1000,1000,92.8612,129.879,1.398635813,2,5.02184,5.02E+06
